timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684310325152,0,BeanShell 取样器,200,OK,线程组 10-1,text,true,,0,0,1,11,null,0,0,0
1684310325095,127,搜索页面数据,200,OK,个人中心模块 9-1,text,true,,332,416,1,10,http://localhost%3A8360/api/search/index,127,0,39
1684310325103,124,统计商品总数,200,OK,商品模块 5-1,text,true,,284,415,1,10,http://localhost%3A8360/api/goods/count,124,0,37
1684310325223,11,搜索帮助,200,OK,个人中心模块 9-1,text,true,,268,435,1,10,http://localhost%3A8360/api/search/helper?keyword=灯,11,0,0
1684310325234,6,清除搜索历史,200,OK,个人中心模块 9-1,text,true,,268,445,1,10,http://localhost%3A8360/api/search/clearHistory,6,0,0
1684310325103,170,保存收货地址,200,OK,收货地址模块 6-1,text,true,,474,591,1,10,http://localhost%3A8360/api/address/saveAddress,170,0,35
1684310325096,199,保存收货地址,200,OK,收货地址流程 11-1,text,true,,474,591,1,10,http://localhost%3A8360/api/address/saveAddress,199,0,44
1684310325105,261,分类-全部分类,200,OK,分类模块 3-1,text,true,,2240,417,1,10,http://localhost%3A8360/api/catalog/index,261,0,30
1684310325367,4,分类-全部分类（多参）,200,OK,分类模块 3-1,text,true,,2239,425,1,10,http://localhost%3A8360/api/catalog/index?abc=123,4,0,0
1684310325371,5,分类-当前分类,200,OK,分类模块 3-1,text,true,,392,430,1,10,http://localhost%3A8360/api/catalog/current?id=1005000,5,0,0
1684310325377,6,分类-当前分类（多参）,200,OK,分类模块 3-1,text,true,,392,438,1,10,http://localhost%3A8360/api/catalog/current?id=1005000&abc=752,5,0,0
1684310325297,141,收货地址详情,200,OK,收货地址流程 11-1,text,true,,598,433,1,10,http://localhost%3A8360/api/address/addressDetail?id=1380,141,0,0
1684310325105,340,足迹列表,200,OK,足迹模块 8-1,text,true,,2694,432,1,10,http://localhost%3A8360/api/footprint/list?page=1&size=8,340,0,32
1684310325446,102,足迹列表（多参）,200,OK,足迹模块 8-1,text,true,,2694,440,1,10,http://localhost%3A8360/api/footprint/list?page=1&size=8&abc=123,102,0,0
1684310325549,70,足迹列表（少参-缺少page）,200,OK,足迹模块 8-1,text,true,,2694,425,1,10,http://localhost%3A8360/api/footprint/list?size=8,70,0,0
1684310325440,186,删除收货地址,200,OK,收货地址流程 11-1,text,true,,269,458,1,10,http://localhost%3A8360/api/address/deleteAddress,186,0,0
1684310325227,433,获得商品的详情,200,OK,商品模块 5-1,text,true,,10512,427,1,10,http://localhost%3A8360/api/goods/detail?id=1181000,433,0,0
1684310325099,575,首页请求,200,OK,首页模块 2-1,text,true,,7804,417,1,10,http://localhost%3A8360/api/index/appInfo,575,0,40
1684310325619,112,足迹列表（少参-缺少size）,200,OK,足迹模块 8-1,text,true,,3284,425,1,10,http://localhost%3A8360/api/footprint/list?page=1,112,0,0
1684310325661,96,获得商品列表,200,OK,商品模块 5-1,text,true,,231432,414,1,10,http://localhost%3A8360/api/goods/list,95,0,0
1684310325276,489,JDBC Request删除数据,200,OK,收货地址模块 6-1,text,true,,41,0,1,10,null,489,0,295
1684310325628,138,JDBC Request删除数据,200,OK,收货地址流程 11-1,text,true,,41,0,1,10,null,138,0,121
1684310325757,28,统计商品总数（多参）,200,OK,商品模块 5-1,text,true,,284,423,1,10,http://localhost%3A8360/api/goods/count?abc=123,28,0,0
1684310325731,67,足迹列表（无参）,200,OK,足迹模块 8-1,text,true,,3283,418,1,10,http://localhost%3A8360/api/footprint/list,67,0,0
1684310325106,695,添加商品到购物车,200,OK,购物车流程 1-1,text,true,,1400,500,1,10,http://localhost%3A8360/api/cart/add,695,0,28
1684310325098,717,添加商品到购物车,200,OK,购物车模块 4-1,text,true,,1400,500,1,10,http://localhost%3A8360/api/cart/add,717,0,41
1684310325768,57,获得收货地址,200,OK,收货地址流程 11-1,text,true,,269,424,1,10,http://localhost%3A8360/api/address/getAddresses,57,0,0
1684310325767,69,删除收货地址,200,OK,收货地址模块 6-1,text,true,,268,458,1,9,http://localhost%3A8360/api/address/deleteAddress,69,0,0
1684310325837,2,JDBC Request删除数据,200,OK,收货地址模块 6-1,text,true,,41,0,1,9,null,2,0,0
1684310325842,34,获取区域列表,200,OK,收货地址模块 6-1,text,true,,4018,426,1,9,http://localhost%3A8360/api/region/list?parentId=1,34,0,0
1684310325802,92,更新购物车的商品,200,OK,购物车流程 1-1,text,false,Expected to find an object with property ['errno'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,231,479,1,9,http://localhost%3A8360/api/cart/update,92,0,0
1684310325800,101,足迹列表（错误参）,200,OK,足迹模块 8-1,text,true,,3283,434,1,9,http://localhost%3A8360/api/footprint/list?page1=1&size1=8,101,0,0
